record_type,status,model,sample,window,window_start_hour,window_end_hour,window_duration_hours,specification,outcome,term,beta,se,pvalue,n_obs,n_counties,n_anchor_days,fe,cluster
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-02:00 (+1 day),5,2,21,baseline,person_fatals,own_alert,-0.00016101679290662094,0.00022031058770410043,0.4683435282544026,2864736,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-02:00 (+1 day),5,2,21,baseline,person_fatals,own_alert_x_hours_since_wake,-1.2451477651877405e-05,3.702616797045405e-05,0.7380891779249676,2864736,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-02:00 (+1 day),5,2,21,baseline,person_fatals,cross_spillover,-2.8289778761598276e-06,0.0006687731763533125,0.9966420532044897,2864736,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-02:00 (+1 day),5,2,21,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.00021165790186592398,9.311695855068484e-05,0.02744510947444634,2864736,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-02:00 (+1 day),5,2,21,robust,person_fatals,own_alert,-0.00016084027971386826,0.00022108525898874689,0.47037959703612797,2864736,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-02:00 (+1 day),5,2,21,robust,person_fatals,own_alert_x_hours_since_wake,-1.251580459976216e-05,3.698104934193303e-05,0.7364788224361565,2864736,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-02:00 (+1 day),5,2,21,robust,person_fatals,cross_spillover,-2.345515152571855e-07,0.0006683311533686537,0.9997214065155517,2864736,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,05:00-02:00 (+1 day),5,2,21,robust,person_fatals,cross_spillover_x_hours_since_wake,0.00021228952873235277,9.301685653156107e-05,0.02685269092603426,2864736,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-22:00,6,22,16,baseline,person_fatals,own_alert,0.00042664747906835947,0.0002547071017024993,0.10029552529810726,2182656,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-22:00,6,22,16,baseline,person_fatals,own_alert_x_hours_since_wake,-9.920739032353941e-05,4.481250203776351e-05,0.031525464355306676,2182656,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-22:00,6,22,16,baseline,person_fatals,cross_spillover,-0.00297354557707148,0.001161776408798577,0.01361976926760633,2182656,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-22:00,6,22,16,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.0006623949175343787,0.00016014031263413914,0.0001379643863794744,2182656,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-22:00,6,22,16,robust,person_fatals,own_alert,0.0004232896277788931,0.00025280077176315487,0.10042410762863385,2182656,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-22:00,6,22,16,robust,person_fatals,own_alert_x_hours_since_wake,-9.920748310920267e-05,4.481264113601719e-05,0.031525815953687975,2182656,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-22:00,6,22,16,robust,person_fatals,cross_spillover,-0.0029608690047212673,0.0011235307880201426,0.011223160957720912,2182656,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-22:00,6,22,16,robust,person_fatals,cross_spillover_x_hours_since_wake,0.0006623953875278355,0.00016014039206086337,0.00013796399356791333,2182656,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-23:00,6,23,17,baseline,person_fatals,own_alert,0.00033305626389070516,0.00022529994707489744,0.14573281306876562,2319072,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-23:00,6,23,17,baseline,person_fatals,own_alert_x_hours_since_wake,-7.858830835387759e-05,3.3217104952749586e-05,0.021986111547519283,2319072,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-23:00,6,23,17,baseline,person_fatals,cross_spillover,-0.002527003339733371,0.0010208751703856772,0.01681723210899788,2319072,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-23:00,6,23,17,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.0005697971312170823,9.947951473795094e-05,6.130254877056984e-07,2319072,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-23:00,6,23,17,robust,person_fatals,own_alert,0.00033197092493318826,0.00022697549438112529,0.14996587841331732,2319072,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-23:00,6,23,17,robust,person_fatals,own_alert_x_hours_since_wake,-7.858839691344233e-05,3.3217281045382764e-05,0.021986636237743884,2319072,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,06:00-23:00,6,23,17,robust,person_fatals,cross_spillover,-0.0025160650579067623,0.0009949052405489943,0.014709742841851225,2319072,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
