spec,outcome,term,status,coef,se_state_date,pval_state_date,nobs,bootstrap_reps,estimator,pval_wild,inference,analysis_counties,excluded_no_self_loop_counties,exposure_spec
leave_state_out_27,fatal_crashes,own_driver_distance,ok,6.779652998445246e-05,0.000595238693481785,0.9097936840226457,7199626,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_27,fatal_crashes,cross_driver_distance,ok,0.00032935834729451723,0.0001406748261098014,0.023417960237134657,7199626,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_28,fatal_crashes,own_driver_distance,ok,8.990670209745967e-05,0.0006060889430827722,0.8826965687153023,7076930,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_28,fatal_crashes,cross_driver_distance,ok,0.0003089656670629241,0.0001358105183976362,0.027413694524131855,7076930,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_29,fatal_crashes,own_driver_distance,ok,0.0001799774113700035,0.0006763921334882768,0.7913138381128383,7094458,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_29,fatal_crashes,cross_driver_distance,ok,0.0003469610519772392,0.00022299562876687098,0.1262990725364485,7094458,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_30,fatal_crashes,own_driver_distance,ok,0.0001483441829404883,0.0005863879504960614,0.8013643059360112,7265356,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_30,fatal_crashes,cross_driver_distance,ok,0.0003081720439649449,0.00013333212075808485,0.02515438098028126,7265356,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_31,fatal_crashes,own_driver_distance,ok,0.00010244807356194903,0.0005904613474044246,0.8629840367790774,7260974,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_31,fatal_crashes,cross_driver_distance,ok,0.00032394324001398686,0.00013953711525677154,0.024548147729974466,7260974,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_32,fatal_crashes,own_driver_distance,ok,0.00014372056719747832,0.0005892497321461196,0.8083444100257077,7274120,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_32,fatal_crashes,cross_driver_distance,ok,0.00030909979644953443,0.00013429952249311645,0.025743166256854064,7274120,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_33,fatal_crashes,own_driver_distance,ok,9.85395384644422e-05,0.0005906547648122353,0.8682038349192969,7269738,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_33,fatal_crashes,cross_driver_distance,ok,0.00032186600611988983,0.00013856393614495132,0.02447135101017951,7269738,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_34,fatal_crashes,own_driver_distance,ok,0.00012678932637132033,0.0005893483915512135,0.8305737353022222,7217154,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_34,fatal_crashes,cross_driver_distance,ok,0.0003214701995488277,0.00013938126129276325,0.025449176882453163,7217154,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_35,fatal_crashes,own_driver_distance,ok,0.00017076710058913652,0.0006008696611077808,0.7774796213931218,7217154,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_35,fatal_crashes,cross_driver_distance,ok,0.0003144420103267728,0.0001389612215908926,0.028209958214854197,7217154,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_36,fatal_crashes,own_driver_distance,ok,0.00016382440535575907,0.0005864995995668866,0.7811949613185744,7098840,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_36,fatal_crashes,cross_driver_distance,ok,0.0003190043892587559,0.00013895205988563865,0.026098495809049597,7098840,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_37,fatal_crashes,own_driver_distance,ok,-5.977215717222056e-05,0.0006802868176936306,0.9303509740851175,6971762,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_37,fatal_crashes,cross_driver_distance,ok,0.00032695830186604293,0.00014049541441095732,0.024220857540224596,6971762,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_38,fatal_crashes,own_driver_distance,ok,8.105250663539051e-05,0.0005987275422821015,0.892881817687706,7274120,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_38,fatal_crashes,cross_driver_distance,ok,0.0003489731719937746,0.00015291216670636204,0.026951865468888447,7274120,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_39,fatal_crashes,own_driver_distance,ok,0.0001683444906380755,0.0006043102066790045,0.7817691774382285,6984908,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
