record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,cluster,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change
estimate,ok,direct_vs_clean,IL,WLS_TWFE,serious_per_100k,night_alert,-0.12759854870901374,0.1995012872457758,0.5238888318196044,296239.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,IL,PPML_raw_count,serious_inj,night_alert,-0.5172716590613778,0.5381476631202134,0.33644776280606625,296188.0,log_population_offset,county+date,,,0.8827331985322662,,,,0.5961448174930234,-40.38551825069766
estimate,ok,spillover_joint,NC,WLS_TWFE,crashes_per_100k,night_alert,-0.4409030751248979,0.6070680300444681,0.46937907958061054,109500.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,NC,WLS_TWFE,crashes_per_100k,spillover_share_10pp,0.3422500305455902,0.26296683515441027,0.1961096303965959,109500.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,NC,PPML_raw_count,crashes,night_alert,-0.08231284853290632,0.08082330479662903,0.3084738262576938,109500.0,log_population_offset,county+date,,,0.1438082191780822,,,,0.9209837851953416,-7.9016214804658365
estimate,ok,spillover_joint,NC,PPML_raw_count,crashes,spillover_share_10pp,0.054672425450423445,0.036751226716380016,0.1368470753304203,109500.0,log_population_offset,county+date,,,0.1438082191780822,,,,1.056194575539434,5.619457553943397
estimate,ok,direct_vs_clean,NC,WLS_TWFE,crashes_per_100k,night_alert,0.08040352599711707,0.5842425302445874,0.8908201664306901,108919.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,NC,PPML_raw_count,crashes,night_alert,0.030712231529772163,0.11753376860469297,0.7938568509783293,108919.0,log_population_offset,county+date,,,0.14424480577309745,,,,1.0311887175859251,3.118871758592512
estimate,ok,spillover_joint,NC,WLS_TWFE,fatals_per_100k,night_alert,-0.02610301642372552,0.0435577748390171,0.5503595418789917,109500.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,NC,WLS_TWFE,fatals_per_100k,spillover_share_10pp,0.01730154511537258,0.01986839476637946,0.3859660366672808,109500.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,NC,PPML_raw_count,fatals,night_alert,-0.5946008477411533,0.7009409423841237,0.3962767588210061,108600.0,log_population_offset,county+date,,,0.9573789954337899,,,,0.5517827672559084,-44.821723274409166
estimate,ok,spillover_joint,NC,PPML_raw_count,fatals,spillover_share_10pp,0.38430569840267603,0.3101084062617691,0.21524832575023667,108600.0,log_population_offset,county+date,,,0.9573789954337899,,,,1.4685943200056053,46.85943200056053
estimate,ok,direct_vs_clean,NC,WLS_TWFE,fatals_per_100k,night_alert,0.032823513039861654,0.05440367708394435,0.5476672458141216,108919.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,NC,PPML_raw_count,fatals,night_alert,0.6022775295594096,0.9348115432109493,0.5193958600280653,107823.0,log_population_offset,county+date,,,0.9575647958574721,,,,1.826273459202381,82.6273459202381
estimate,ok,spillover_joint,NC,WLS_TWFE,serious_per_100k,night_alert,-0.03260491401584769,0.04319494115975967,0.45214185826875397,109500.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,NC,WLS_TWFE,serious_per_100k,spillover_share_10pp,0.016717460855278393,0.03196937734372812,0.6021975653618752,109500.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,NC,PPML_raw_count,serious_inj,night_alert,-0.22583835319975704,0.43716685619339596,0.6054386813830455,109500.0,log_population_offset,county+date,,,0.8892876712328767,,,,0.7978470606669286,-20.215293933307144
estimate,ok,spillover_joint,NC,PPML_raw_count,serious_inj,spillover_share_10pp,0.12526144224695202,0.25544536475885815,0.6238757054967683,109500.0,log_population_offset,county+date,,,0.8892876712328767,,,,1.1334447446744105,13.344474467441048
estimate,ok,direct_vs_clean,NC,WLS_TWFE,serious_per_100k,night_alert,-0.10981754065868757,0.2999788285384879,0.7150833059376973,108919.0,rate_per_100k_population_weighted,county+date,,,,,,,,
