record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,partial,spillover_joint,OR,WLS_TWFE,fatals_per_100k,,,,,,,65736.0,65736.0,0.9627905561640502,night_alert|log_spillover_commuters,log_spillover_commuters,nonfinite_coefficient,,,,,,
fit_status,partial,spillover_joint,OR,PPML_raw_count,fatals,,,,,,,65736.0,48528.0,0.9627905561640502,night_alert|log_spillover_commuters,log_spillover_commuters,nonfinite_coefficient,,,,,,
fit_status,failed,direct_vs_clean,OR,WLS_TWFE,fatals_per_100k,,,,,,,65277.0,65277.0,0.9631723271596427,night_alert,,nonfinite_coefficient,,,,,,
fit_status,ok,spillover_joint,OR,WLS_TWFE,serious_per_100k,,,,,,,65736.0,65736.0,0.8622520384568577,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,OR,PPML_raw_count,serious_inj,,,,,,,65736.0,64800.0,0.8622520384568577,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,OR,WLS_TWFE,serious_per_100k,,,,,,,65277.0,65277.0,0.8634587986580265,night_alert,night_alert,,,,,,,
fit_status,skipped,spillover_joint,TN,WLS_TWFE,crashes_per_100k,,,,,,,104025.0,0.0,0.26820475847152125,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,TN,PPML_raw_count,crashes,,,,,,,104025.0,0.0,0.26820475847152125,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,TN,WLS_TWFE,crashes_per_100k,,,,,,,103692.0,0.0,0.2688635574586275,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,TN,WLS_TWFE,fatals_per_100k,,,,,,,104025.0,0.0,0.966565729391973,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,TN,PPML_raw_count,fatals,,,,,,,104025.0,0.0,0.966565729391973,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,TN,WLS_TWFE,fatals_per_100k,,,,,,,103692.0,0.0,0.9669887744474019,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,TN,WLS_TWFE,serious_per_100k,,,,,,,104025.0,0.0,0.8830569574621485,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,TN,PPML_raw_count,serious_inj,,,,,,,104025.0,0.0,0.8830569574621485,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,TN,WLS_TWFE,serious_per_100k,,,,,,,103692.0,0.0,0.8839544034255294,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,ok,spillover_joint,TX,WLS_TWFE,crashes_per_100k,,,,,,,371094.0,371094.0,0.4391690515071653,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,TX,PPML_raw_count,crashes,,,,,,,371094.0,371094.0,0.4391690515071653,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,TX,WLS_TWFE,crashes_per_100k,,,,,,,369121.0,369121.0,0.44061432430016173,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,TX,WLS_TWFE,fatals_per_100k,,,,,,,371094.0,371094.0,0.9642273925204935,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,TX,PPML_raw_count,fatals,,,,,,,371094.0,365250.0,0.9642273925204935,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,TX,WLS_TWFE,fatals_per_100k,,,,,,,369121.0,369121.0,0.9648733071269313,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,TX,WLS_TWFE,serious_per_100k,,,,,,,371094.0,371094.0,0.8965491223248018,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,spillover_joint,TX,PPML_raw_count,serious_inj,,,,,,,371094.0,371094.0,0.8965491223248018,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,ok,direct_vs_clean,TX,WLS_TWFE,serious_per_100k,,,,,,,369121.0,369121.0,0.8978492147561369,night_alert,night_alert,,,,,,,
fit_status,skipped,spillover_joint,UT,WLS_TWFE,crashes_per_100k,,,,,,,63539.0,0.0,0.3612741780638663,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
